Name,M2,M2_err_low,M2_err_high,R2,R2_err_low,R2_err_high,Period,ecc,ecc_err_low,ecc_err_high,table_ecc,special_ecc,M1,M1_err_low,M1_err_high,R1,R1_err_low,R1_err_high,Teff,Teff_err_low,Teff_err_high,FeH,FeH_err_low,FeH_err_high,FeH_table,logg,logg_err_low,logg_err_high,vsini,vsini_err_low,vsini_err_high,Prot notes,age,age_err_low,age_err_high,age_notes,Notes,,Refnum,Refnum_sub1,Ref,Reflink,Reflink2
Units,Mjup,Mjup,Mjup,Rjup,Rjup,Rjup,days,,,,,,Msun,Msun,Msun,Rsun,Rsun,Rsun,K,change for Bds,,,,,,,,,km/s,km/s,km/s,,Gyr,Gyr,Gyr,,,,,,,,
TOI-263b,61.6,4,4,0.91,0.07,0.07,0.5568143,0.017,0.01,0.009,,,0.438,0.036,0.036,0.438,0.028,0.028,3471,33,33,0,0.1,0.1,,4.67,0.03,0.03,37.92,0.36,0.36,,,,,field,metallicity fixed to 0,,(19),(18),Palle2021,https://ui.adsabs.harvard.edu/abs/2021arXiv210311150P/abstract,
KOI-415b,62.14,2.69,2.69,0.79,0.07,0.12,166.78805,0.689,0.0002,0.0002,,,0.94,0.06,0.06,1.25,0.1,0.15,5810,80,80,-0.24,0.11,0.11,,4.22,0.09,0.06,1,1,1,,10.5,2.2,2.2,YY evolutionairy tracks,,,(20),(19),Moutou2013,https://ui.adsabs.harvard.edu/abs/2013A%26A...558L...6M/abstract,
WASP-30b,62.5,1.2,1.2,0.951,0.024,0.028,4.156739,0,0,0,0 (fixed),fixed to 0,1.249,0.036,0.032,1.389,0.025,0.033,6202,51,42,0.083,0.05,0.069,,4.18,0.08,0.08,12.1,0.5,0.5,,3.4,0.5,0.3,Geneva stellar evolution tracks,parameteres slightly different than table from Theron,,(21),(20),Triaud2013,https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..18T/abstract,
LHS 6343c,62.7,2.4,2.4,0.833,0.021,0.021,12.71382,0.056,0.032,0.032,,,0.37,0.009,0.009,0.378,0.008,0.008,3130,20,20,0.04,0.08,0.08,,4.851,0.008,0.008,,,,vsini < 2 km/s,,,,from vsini age likely >1-2 Gyr,,,(22),(21),Johnson2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...730...79J/abstract,
CoRoT-15b,63.3,4.1,4.1,1.12,0.15,0.3,3.06036,0,0,0,0 (fixed),fixed to 0,1.32,0.12,0.12,1.46,0.14,0.31,6350,200,200,0.1,0.2,0.2,,4.3,0.2,0.2,19,2,2,,,,,STAREVOL: 1.14–3.35 Gyr.,,,(23),(22),Bouchy2011,https://ui.adsabs.harvard.edu/abs/2011A%26A...525A..68B/abstract,
TOI-569b,64.1,1.4,1.9,0.75,0.02,0.02,6.55604,0.0017,0.0012,0.0018,,<0.0035,1.21,0.05,0.05,1.48,0.03,0.03,5768,92,110,0.29,0.08,0.09,,4.19,0.03,0.03,5.3,0.5,0.5,12.9 days,4.7,1.3,1.3,EXOFASTv2; less-likely 7.5 -1.2 +1.8,two values presented - slightly different values in Carmichael+2021,,(12),(11),Carmichael2020,https://ui.adsabs.harvard.edu/abs/2020AJ....160...53C/abstract,
EPIC 201702477b,66.9,1.7,1.7,0.757,0.065,0.065,40.73691,0.2281,0.0026,0.0026,,,0.87,0.031,0.031,0.901,0.057,0.057,5517,70,70,-0.164,0.053,0.053,,4.466,0.058,0.058,,,,vsini < 2 km/s,8.8,4.1,4.1,Dartmouth stellar evolution tracks of Dotter et al.(2008)toderive the stellar fundamental parameters(mass radius age)inthe MCMC,,,(24),(23),Bayliss2017,https://ui.adsabs.harvard.edu/abs/2017AJ....153...15B/abstract,
LP261-75b,68.09,2.1,2.1,0.898,0.015,0.015,1.8817205,0,0,0.007,<0.007,<0.007,0.3,0.015,0.015,0.3131,0.0049,0.0049,3100,50,50,,,,,,,,7.13,0.11,0.11,,,,,,Teff fixed; logg and fe/h not presented,,(25),(24),Irwin2018,https://ui.adsabs.harvard.edu/abs/2018AJ....156..140I/abstract,
NGTS-19b,69.5,5.4,5.7,1.034,0.053,0.055,17.839654,0.3767,0.0061,0.0061,,,0.807,0.043,0.038,0.896,0.035,0.04,4716,28,39,0.11,0.07,0.074,,4.571,0.093,0.102,2.1,0.4,0.4,,8.5,6,3.2,,,,N/A,N/A,Acton2021,https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.2741A/abstract,
NGTS-7Ab,75.5,13.7,3,1.38,0.14,0.13,0.675991,0,0,0,0 (fixed),fixed to 0,0.24,0.03,0.03,0.61,0.06,0.06,3359,89,106,0,0.1,0.1,,4.89,0.28,0.4,,,,vsini > 31 km/s,0.55,0.03,0.08,PARSEC starspots lithium,metallicity fixed to 0,,(26),(25),Jackman2019,https://ui.adsabs.harvard.edu/abs/2019MNRAS.489.5146J/abstract,
KOI-189b,78.6,3.5,3.5,0.997,0.023,0.023,30.3604467,0.2746,0.0037,0.0037,,,0.764,0.051,0.051,0.733,0.017,0.017,4952,40,40,-0.115,0.099,0.099,,4.59,0.014,0.014,2.5,1.5,1.5,,6.9,3.4,6.4,0.6 - 13.9 Gyr 95% confidence interval,,,(27),(26),Diaz2014,https://ui.adsabs.harvard.edu/abs/2014A%26A...572A.109D/abstract,
TOI-148b,77.1,4.6,5.8,0.81,0.06,0.05,4.867103,0.0052,0.0037,0.006,,,0.97,0.09,0.12,1.2,0.07,0.07,5990,140,140,-0.24,0.25,0.25,,4.27,0.06,0.06,10.1,0.8,0.8,,7.7,3.7,3.7,MIST isochrone via EXOFASTv2,,,this work,this work,,,
TOI-587b,81.1,7,7.1,1.32,0.06,0.07,8.04345,0.051,0.036,0.049,,,2.33,0.12,0.12,2.01,0.09,0.09,9800,200,200,0.08,0.12,0.11,,4.2,0.04,0.04,34,2,2,,0.2,0.1,0.1,MIST isochrone via EXOFASTv2,,,this work,this work,,,
TOI-746b,82.2,4.4,4.9,0.95,0.06,0.09,10.980303,0.1985,0.0031,0.0029,,,0.94,0.08,0.09,0.97,0.03,0.04,5690,140,140,-0.02,0.23,0.23,,4.44,0.03,0.03,6.1,1.2,1.2,,6.5,3.9,4.3,MIST isochrone via EXOFASTv2,,,this work,this work,,,
EBLM J0555-57Ab,87.9,3.98,3.98,0.821,0.0584,0.1275,7.758,0.0895,0.0036,0.0035,,,1.18,0.079,0.082,1,0.07,0.14,6386,124,124,-0.04,0.14,0.14,,,,,,,,,,,,,,,(28),(27),vonBoetticher2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...625A.150V/abstract,
TOI-681b,88.7,2.3,2.5,1.52,0.15,0.25,15.778482,0.093,0.019,0.022,,,1.54,0.05,0.06,1.47,0.04,0.04,7440,140,150,-0.08,0.05,0.05,,4.29,0.02,0.02,30.8,0.78,0.78,,0.17,0.015,0.015,Cluster membership to NGC 2516 ,,,this work,this work,,,
OGLE-TR-123b,89,11.5,11.5,1.294,0.088,0.088,1.8,0,0,0,0 (fixed),,1.29,0.26,0.26,1.55,0.1,0.1,6700,300,300,,,,,,,,,,,,,,,,,,(29),(28),Pont2006,https://ui.adsabs.harvard.edu/abs/2006A%26A...447.1035P/abstract,
TOI-694b,89,5.3,5.3,1.111,0.017,0.017,48.05125,0.5212,0.0021,0.0021,,,0.967,0.04,0.047,0.998,0.012,0.01,5496,81,87,0.21,0.08,0.08,,,,,,,,,,,,,,,(30),(29),Mireles2020,https://ui.adsabs.harvard.edu/abs/2020AJ....160..133M/abstract,
KOI-607b,95.1,3.4,3.3,1.089,0.061,0.089,5.89399148,0.395,0.009,0.0091,,,0.993,0.052,0.05,0.915,0.028,0.031,5418,85,87,0.376,0.088,0.075,,4.511,0.023,0.021,9.1,0.5,0.5,4.97 pm 0.27,2.6,1.9,3.4,EXOFASTv2,,,(10),(9),Carmichael2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158...38C/abstract,
J1219-39b,95.4,2.5,1.9,1.142,0.049,0.069,6.7600098,0.05539,0.00022,0.00023,,,0.826,0.029,0.032,0.811,0.024,0.038,5412,65,81,-0.209,0.075,0.07,,4.532,0.026,0.039,2.61,0.35,0.42,,,,,6-12 Gyr,,,(21),(20),Triaud2013,https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..18T/abstract,
OGLE-TR-122b,96.3,9.423,9.423,1.17,0.13,0.2,7.27,0.205,0.008,0.008,,,0.98,0.14,0.14,1.05,0.09,0.2,5700,300,300,0.15,0.36,0.36,,,,,,,,,,,,,,,(31),(30),Pont2005a,https://ui.adsabs.harvard.edu/abs/2005A%26A...433L..21P/abstract,
TOI-1213b,97.5,4.2,4.4,1.66,0.55,0.78,27.21525,0.4983,0.0022,0.0025,,,0.99,0.06,0.07,0.99,0.04,0.04,5590,150,150,0.25,0.14,0.13,,4.44,0.03,0.04,4,1.2,1.2,,5.3,3.4,4.2,MIST isochrone via EXOFASTv2,,,this work,this work,,,
K2-76b,98.7,1.99,1.99,0.889,0.0467,0.0253,11.99,0.2545,0.0065,0.007,,,0.964,0.026,0.026,1.171,0.06,0.033,5747,70,64,0.01,0.04,0.04,,,,,,,,,,,,,name B or b?,,(32),(31),Shporer2017,https://ui.adsabs.harvard.edu/abs/2017ApJ...847L..18S/abstract,
CoRoT 101186644,100.5,11.5,11.5,1.012,0.253,0.0584,20.68,0.402,0.006,0.006,,,1.2,0.2,0.2,1.07,0.07,0.07,6090,200,200,0.2,0.2,0.2,,,,,,,,,,,,,,,(33),(32),Tal-Or2013,https://ui.adsabs.harvard.edu/abs/2013A%26A...553A..30T/abstract,
J2343+29Ab,102.7,7.33,7.33,1.236,0.068,0.068,16.95,0.161,0.0027,0.0015,,,0.864,0.098,0.097,0.854,0.06,0.05,5150,60,90,0.1,0.14,0.14,,,,,,,,,,,,,name B or b?,,(34),(33),Chaturvedi2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462..554C/abstract,
